Rank,Food Name,Serving,folate-b9 amount,Percent DV,Source
1,"Duckliver",100 grams,738mcg,(185% DV),Standard Release
2,"Goose liver",100 grams,738mcg,(185% DV),Standard Release
4,"Turkey liver",100 grams,677mcg,(169% DV),Standard Release
5,"Yardlong beans",100 grams,658mcg,(165% DV),Standard Release
6,"Mothbeans",100 grams,649mcg,(162% DV),Standard Release
7,"Cowpeas",100 grams,639mcg,(160% DV),Standard Release
9,"Mung beans",100 grams,625mcg,(156% DV),Standard Release
10,"adzuki beans",100 grams,622mcg,(156% DV),Standard Release
11,"cranberry beans",100 grams,604mcg,(151% DV),Standard Release
12,"Chicken liver",100 grams,588mcg,(147% DV),Standard Release
13,Dried Agar Seaweed,100 grams,580mcg,(145% DV),Standard Release
16,"Chickpeas",100 grams,557mcg,(139% DV),Standard Release
17,Pinto beans,100 grams,525mcg,(131% DV),Standard Release
19,Great Northern beans,100 grams,482mcg,(121% DV),Standard Release
20,"Lentils",100 grams,479mcg,(120% DV),Standard Release
21,"pink beans",100 grams,463mcg,(116% DV),Standard Release
22,"Pigeon peas",100 grams,456mcg,(114% DV),Standard Release
23,"black Beans",100 grams,444mcg,(111% DV),Standard Release
25,Chickpea flour,100 grams,437mcg,(109% DV),Standard Release
26,"Broadbeans (fava beans)",100 grams,423mcg,(106% DV),Standard Release
27,"Chicken giblets",100 grams,414mcg,(104% DV),Standard Release
28,"Lima beans",100 grams,400mcg,(100% DV),Standard Release
29,"french beans",100 grams,399mcg,(100% DV),Standard Release
31,"Chicken capons",100 grams,394mcg,(99% DV),Standard Release
32,"kidney Beans",100 grams,394mcg,(99% DV),Standard Release
36,"yellow Beans",100 grams,389mcg,(97% DV),Standard Release
37,"white Beans",100 grams,388mcg,(97% DV),Standard Release
39,"Chicken broilers",100 grams,379mcg,(95% DV),Standard Release
40,"Soybeans",100 grams,375mcg,(94% DV),Standard Release
41,"Peanut butter",100 grams,373mcg,(93% DV),Standard Release
42,"Chicken stewing",100 grams,367mcg,(92% DV),Standard Release
43,"Leeks",100 grams,366mcg,(92% DV),Standard Release
45,"Lupins",100 grams,355mcg,(89% DV),Standard Release
