Rank,Food Name,Serving,folate-b9-v2 amount,Percent DV,Source
1,"Yardlong beans",100 grams,658mcg,(165% DV),Standard Release
2,"Mothbeans",100 grams,649mcg,(162% DV),Standard Release
4,"Cowpeas",100 grams,633mcg,(158% DV),Standard Release
5,"Mung beans",100 grams,625mcg,(156% DV),Standard Release
6,"Beans, adzuki",100 grams,622mcg,(156% DV),Standard Release
7,"Beans, cranberry (roman)",100 grams,604mcg,(151% DV),Standard Release
8,Dried Agar Seaweed,100 grams,580mcg,(145% DV),Standard Release
9,"Chickpeas",100 grams,557mcg,(139% DV),Standard Release
10,pinto Beans,100 grams,525mcg,(131% DV),Standard Release
12,Great Northern Beans,100 grams,482mcg,(121% DV),Standard Release
13,"Lentils",100 grams,479mcg,(120% DV),Standard Release
14,"pink Beans",100 grams,463mcg,(116% DV),Standard Release
15,"Pigeon peas",100 grams,456mcg,(114% DV),Standard Release
17,"black Beans",100 grams,444mcg,(111% DV),Standard Release
18,Chickpea flour,100 grams,437mcg,(109% DV),Standard Release
19,"Broadbeans",100 grams,423mcg,(106% DV),Standard Release
20,"Lima beans",100 grams,400mcg,(100% DV),Standard Release
21,"french Beans",100 grams,399mcg,(100% DV),Standard Release
23,"kidney Beans",100 grams,394mcg,(99% DV),Standard Release
27,"yellow Beans",100 grams,389mcg,(97% DV),Standard Release
28,"white Beans",100 grams,388mcg,(97% DV),Standard Release
30,"Soybeans",100 grams,375mcg,(94% DV),Standard Release
31,"Peanut butter",100 grams,373mcg,(93% DV),Standard Release
32,"Leeks",100 grams,366mcg,(92% DV),Standard Release
34,"Lupins",100 grams,355mcg,(89% DV),Standard Release
35,"Soy flour",100 grams,345mcg,(86% DV),Standard Release
36,"Soy protein concentrate",100 grams,340mcg,(85% DV),Standard Release
40,"Soy meal",100 grams,303mcg,(76% DV),Standard Release
41,"Edamame",100 grams,303mcg,(76% DV),Standard Release
42,"Radishes",100 grams,295mcg,(74% DV),Standard Release
45,"Wheat germ, crude",100 grams,281mcg,(70% DV),Standard Release
46,"Protein powder",100 grams,280mcg,(70% DV),Standard Release
47,"Macaroni, vegetable, enriched, dry",100 grams,278mcg,(70% DV),Standard Release
48,"Spaghetti, protein-fortified",100 grams,278mcg,(70% DV),Standard Release
49,"white Rice",100 grams,275mcg,(69% DV),Standard Release
50,"Cornmeal",100 grams,264mcg,(66% DV),Standard Release
52,"white Rice parboiled",100 grams,257mcg,(64% DV),Standard Release
53,"Peanut flour",100 grams,248mcg,(62% DV),Standard Release
54,"Peanuts",100 grams,246mcg,(62% DV),Standard Release
55,"Noodles, egg, spinach",100 grams,245mcg,(61% DV),Standard Release
56,"cottonseed meal",100 grams,242mcg,(61% DV),Standard Release
59,"sunflower seed kernels",100 grams,238mcg,(60% DV),Standard Release
62,Sunflower Seed Butter,100 grams,237mcg,(59% DV),Standard Release
63,"Pasta",100 grams,237mcg,(59% DV),Standard Release
76,"red Peppers",100 grams,229mcg,(57% DV),Standard Release
81,Papad,100 grams,219mcg,(55% DV),Standard Release
82,"Mungo beans",100 grams,216mcg,(54% DV),Standard Release
83,"Epazote",100 grams,215mcg,(54% DV),Standard Release
88,"Egg yolk",100 grams,209mcg,(52% DV),Standard Release
93,Meat extender,100 grams,198mcg,(50% DV),Standard Release
94,"Wheat flour",100 grams,196mcg,(49% DV),Standard Release
95,"whole Egg",100 grams,193mcg,(48% DV),Standard Release
96,"Asparagus",100 grams,191mcg,(48% DV),Standard Release
97,"Seaweed",100 grams,188mcg,(47% DV),Standard Release
100,"Quinoa",100 grams,184mcg,(46% DV),Standard Release
104,"Semolina",100 grams,183mcg,(46% DV),Standard Release
108,"Soy protein isolate",100 grams,176mcg,(44% DV),Standard Release
124,"Onion powder",100 grams,166mcg,(42% DV),Standard Release
125,Raw Green Soybeans,100 grams,165mcg,(41% DV),Standard Release
126,"Corn flour",100 grams,162mcg,(41% DV),Standard Release
128,"Pepeao",100 grams,160mcg,(40% DV),Standard Release
129,"Mung beans",100 grams,159mcg,(40% DV),Standard Release
130,"safflower seed meal",100 grams,159mcg,(40% DV),Standard Release
136,"Okra",100 grams,148mcg,(37% DV),Standard Release
139,"Spinach",100 grams,146mcg,(37% DV),Standard Release
149,"Mustard greens",100 grams,138mcg,(35% DV),Standard Release
158,"Balsam-pear",100 grams,128mcg,(32% DV),Standard Release
161,"vegan Bacon",100 grams,127mcg,(32% DV),Standard Release
162,"Artichokes",100 grams,126mcg,(32% DV),Standard Release
165,"Taro leaves",100 grams,126mcg,(32% DV),Standard Release
169,"Noodles, chinese, chow mein",100 grams,125mcg,(31% DV),Standard Release
173,"Brussels sprouts",100 grams,123mcg,(31% DV),Standard Release
177,"adzuki Beans",100 grams,121mcg,(30% DV),Standard Release
180,Tomato powder,100 grams,120mcg,(30% DV),Standard Release
183,"Turnip greens",100 grams,118mcg,(30% DV),Standard Release
184,"Shallots",100 grams,116mcg,(29% DV),Standard Release
187,"whole grain pasta",100 grams,114mcg,(29% DV),Standard Release
196,"Broccoli",100 grams,108mcg,(27% DV),Standard Release
