Rank,Food Name,Serving,iron-v2 amount,Percent DV,Source
1,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",100 grams,66.4mg,(369% DV),Standard Release
2,Dried Agar Seaweed,100 grams,21.4mg,(119% DV),Standard Release
3,"sesame butter, paste",100 grams,19.2mg,(107% DV),Standard Release
4,"Peanut butter",100 grams,17.5mg,(97% DV),Standard Release
6,"Soybeans, mature seeds",100 grams,15.7mg,(87% DV),Standard Release
7,"sesame flour",100 grams,15.2mg,(84% DV),Standard Release
8,"sesame  whole, dried",100 grams,14.6mg,(81% DV),Standard Release
10,"Soy protein",100 grams,14.5mg,(81% DV),Standard Release
11,"sesame flour",100 grams,14.3mg,(79% DV),Standard Release
12,"sesame flour, low-fat",100 grams,14.2mg,(79% DV),Standard Release
13,"Soy meal",100 grams,13.7mg,(76% DV),Standard Release
14,"Winged beans, mature seeds, raw",100 grams,13.4mg,(75% DV),Standard Release
15,"cottonseed meal, partially defatted (glandless)",100 grams,13.4mg,(74% DV),Standard Release
16,"Beverage, instant breakfast powder, chocolate, not reconstituted",100 grams,12.8mg,(71% DV),Standard Release
18,"cottonseed flour",100 grams,12.6mg,(70% DV),Standard Release
19,"Protein powder",100 grams,12mg,(67% DV),Standard Release
21,"Mothbeans, mature raw",100 grams,10.9mg,(60% DV),Standard Release
22,"Soy protein concentrate",100 grams,10.8mg,(60% DV),Standard Release
24,"Wheat bran, crude",100 grams,10.6mg,(59% DV),Standard Release
25,"white beans",100 grams,10.4mg,(58% DV),Standard Release
26,"red pepper",100 grams,10.4mg,(58% DV),Standard Release
27,"Cowpeas, catjang, mature  raw",100 grams,10mg,(55% DV),Standard Release
28,"Tofu",100 grams,9.7mg,(54% DV),Standard Release
30,"Egg, yolk",100 grams,9.6mg,(53% DV),Standard Release
31,"kidney Beans",100 grams,9.4mg,(52% DV),Standard Release
32,"Soy flour",100 grams,9.2mg,(51% DV),Standard Release
35,"Yardlong beans",100 grams,8.6mg,(48% DV),Standard Release
36,Natto,100 grams,8.6mg,(48% DV),Standard Release
38,"Corn flour",100 grams,8.5mg,(47% DV),Standard Release
40,"Egg",100 grams,8.3mg,(46% DV),Standard Release
41,"Cowpeas, common (blackeyes, crowder, southern), mature  raw",100 grams,8.3mg,(46% DV),Standard Release
45,Papad,100 grams,7.8mg,(43% DV),Standard Release
46,"sesame seed kernels",100 grams,7.8mg,(43% DV),Standard Release
49,"Teff, uncooked",100 grams,7.6mg,(42% DV),Standard Release
50,"Amaranth grain, uncooked",100 grams,7.6mg,(42% DV),Standard Release
51,"Leeks, (bulb and lower-leaf portion), freeze-dried",100 grams,7.6mg,(42% DV),Standard Release
52,"Mungo beans",100 grams,7.6mg,(42% DV),Standard Release
53,"Lima beans",100 grams,7.5mg,(42% DV),Standard Release
55,"Wheat flour, white",100 grams,7.3mg,(41% DV),Standard Release
56,"watermelon seed kernels, dried",100 grams,7.3mg,(40% DV),Standard Release
58,"Potatoes",100 grams,7mg,(39% DV),Standard Release
60,"yellow beans",100 grams,7mg,(39% DV),Standard Release
61,"sunflower seed kernels",100 grams,6.8mg,(38% DV),Standard Release
63,"pink Beans",100 grams,6.8mg,(38% DV),Standard Release
64,"Mung beans",100 grams,6.7mg,(37% DV),Standard Release
65,"Radishes",100 grams,6.7mg,(37% DV),Standard Release
66,"Broadbeans (fava beans),100 grams,6.7mg,(37% DV),Standard Release
69,"Lentils",100 grams,6.5mg,(36% DV),Standard Release
70,"Noodles, chinese, chow mein",100 grams,6.4mg,(36% DV),Standard Release
73,"tahini",100 grams,6.4mg,(35% DV),Standard Release
74,"white rice",100 grams,6.3mg,(35% DV),Standard Release
75,"Wheat germ",100 grams,6.3mg,(35% DV),Standard Release
77,"Pepeao",100 grams,6.1mg,(34% DV),Standard Release
80,"cashew nuts",100 grams,6.1mg,(34% DV),Standard Release
82,"Shallots",100 grams,6mg,(33% DV),Standard Release
86,"Cornmeal, white",100 grams,5.8mg,(32% DV),Standard Release
87,"Cornmeal, yellow",100 grams,5.8mg,(32% DV),Standard Release
88,"Soybean, curd cheese",100 grams,5.6mg,(31% DV),Standard Release
92,"Wheat",100 grams,5.4mg,(30% DV),Standard Release
93,"Pigeon peas",100 grams,5.2mg,(29% DV),Standard Release
95,"mixed nuts",100 grams,5.2mg,(29% DV),Standard Release
96,"Soybeans",100 grams,5.1mg,(29% DV),Standard Release
98,pinto Beans,100 grams,5.1mg,(28% DV),Standard Release
106,"black Beans",100 grams,5mg,(28% DV),Standard Release
108,"Parmesan cheese topping",100 grams,5mg,(28% DV),Standard Release
110,"Rye flour",100 grams,5mg,(28% DV),Standard Release
113,"cashew butter",100 grams,4.9mg,(27% DV),Standard Release
116,Chickpea flour,100 grams,4.9mg,(27% DV),Standard Release
118,"Jute, potherb, raw",100 grams,4.8mg,(26% DV),Standard Release
119,"Peanut flour",100 grams,4.7mg,(26% DV),Standard Release
122,"green peas",100 grams,4.7mg,(26% DV),Standard Release
123,Barley malt flour,100 grams,4.7mg,(26% DV),Standard Release
126,All Purpose Flour,100 grams,4.6mg,(26% DV),Standard Release
129,"Hyacinth beans",100 grams,4.6mg,(25% DV),Standard Release
131,"Quinoa",100 grams,4.6mg,(25% DV),Standard Release
133,Tomato powder,100 grams,4.6mg,(25% DV),Standard Release
134,"Egg, yolk",100 grams,4.6mg,(25% DV),Standard Release
138,"Semolina",100 grams,4.4mg,(24% DV),Standard Release
142,"Lupins",100 grams,4.4mg,(24% DV),Standard Release
