Rank,Food Name,Serving,vitamin-b12 amount,Percent DV,Source
2,"Lamb liver, raw",100 grams,90.1mcg,(3752% DV),Standard Release
4,"Beef liver, raw",100 grams,84.5mcg,(3521% DV),Standard Release
9,"Veal liver, raw",100 grams,59.9mcg,(2494% DV),Standard Release
14,"Duck liver, raw",100 grams,54mcg,(2250% DV),Standard Release
15,"Goose liver, raw",100 grams,54mcg,(2250% DV),Standard Release
16,"Lamb kidneys, raw",100 grams,52.4mcg,(2184% DV),Standard Release
18,"Mollusks, clam, mixed species, cooked, breaded and fried",100 grams,40.3mcg,(1678% DV),Standard Release
20,"Veal kidneys, raw",100 grams,28.2mcg,(1175% DV),Standard Release
23,"Beef kidneys, raw",100 grams,27.5mcg,(1146% DV),Standard Release
24,"Pork liver, raw",100 grams,26mcg,(1083% DV),Standard Release
26,"Liver cheese, pork",100 grams,24.6mcg,(1023% DV),Standard Release
31,"Mollusks, octopus, common, raw",100 grams,20mcg,(833% DV),Standard Release
32,"caviar, black and red",100 grams,20mcg,(833% DV),Standard Release
33,"Turkey liver, raw",100 grams,19.7mcg,(822% DV),Standard Release
34,"Oscar Mayer, Braunschweiger Liver Sausage (sliced)",100 grams,18.8mcg,(783% DV),Standard Release
40,"Chicken liver raw",100 grams,16.6mcg,(691% DV),Standard Release
41,"Pork pancreas, raw",100 grams,16.4mcg,(683% DV),Standard Release
43,"Mollusks, oyster, eastern, cooked, breaded and fried",100 grams,15.6mcg,(651% DV),Standard Release
44,"Fish, mackerel, king, raw",100 grams,15.6mcg,(650% DV),Standard Release
47,"Beef pancreas, raw",100 grams,14mcg,(583% DV),Standard Release
49,"Veal heart, raw",100 grams,13.8mcg,(573% DV),Standard Release
50,"Fish, herring, Atlantic, raw",100 grams,13.7mcg,(570% DV),Standard Release
51,"Liver sausage, liverwurst, pork",100 grams,13.5mcg,(561% DV),Standard Release
52,Liverwurst spread,100 grams,13.5mcg,(561% DV),Standard Release
53,"Veal pancreas, raw",100 grams,13.4mcg,(558% DV),Standard Release
55,"Turkey heart, raw",100 grams,13.3mcg,(554% DV),Standard Release
56,"Turkey giblets, raw",100 grams,13.1mcg,(544% DV),Standard Release
57,"Chicken giblets, raw",100 grams,13mcg,(540% DV),Standard Release
58,"Veal brain, raw",100 grams,12.2mcg,(508% DV),Standard Release
59,"Mollusks, mussel, blue, raw",100 grams,12mcg,(500% DV),Standard Release
60,"Fish, mackerel, salted",100 grams,12mcg,(500% DV),Standard Release
61,"Chicken, broilers or fryers, giblets, raw",100 grams,11.4mcg,(475% DV),Standard Release
62,"Lamb, variety meats and by-products, brain, raw",100 grams,11.3mcg,(471% DV),Standard Release
64,"Chicken, stewing, giblets, raw",100 grams,10.8mcg,(451% DV),Standard Release
65,"Beef heart, raw",100 grams,10.8mcg,(450% DV),Standard Release
67,"Egg, whole, dried",100 grams,10.5mcg,(438% DV),Standard Release
68,"Lamb, variety meats and by-products, heart, raw",100 grams,10.3mcg,(427% DV),Standard Release
70,"Fish, herring, Pacific, raw",100 grams,10mcg,(417% DV),Standard Release
71,Dried Salted Atlantic Cod,100 grams,10mcg,(417% DV),Standard Release
79,"Pate de foie gras, canned (goose liver pate), smoked",100 grams,9.4mcg,(392% DV),Standard Release
80,"Chicken, roasting, giblets, raw",100 grams,9.4mcg,(392% DV),Standard Release
81,"Pate, goose liver, smoked, canned",100 grams,9.4mcg,(392% DV),Standard Release
84,"Mollusks, whelk, unspecified, raw",100 grams,9.1mcg,(378% DV),Standard Release
85,"Crustaceans, crab, blue, raw",100 grams,9mcg,(375% DV),Standard Release
86,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",100 grams,9mcg,(375% DV),Standard Release
87,"Crustaceans, crab, alaska king, raw",100 grams,9mcg,(375% DV),Standard Release
89,"Mollusks, oyster, eastern, wild, raw",100 grams,8.8mcg,(365% DV),Standard Release
90,"Emu, top loin, cooked, broiled",100 grams,8.7mcg,(363% DV),Standard Release
92,Cooked Ground (Minced) Emu (Pan-Broiled),100 grams,8.5mcg,(355% DV),Standard Release
93,"Pork kidneys, raw",100 grams,8.5mcg,(354% DV),Standard Release
96,"raccoon",100 grams,8.3mcg,(346% DV),Standard Release
97,"beaver",100 grams,8.3mcg,(346% DV),Standard Release
98,"muskrat",100 grams,8.3mcg,(346% DV),Standard Release
99,"opossum",100 grams,8.3mcg,(346% DV),Standard Release
102,"Pate, chicken liver, canned",100 grams,8.1mcg,(336% DV),Standard Release
106,"Fish, trout, mixed species, raw",100 grams,7.8mcg,(325% DV),Standard Release
111,"Chicken heart",100 grams,7.3mcg,(304% DV),Standard Release
112,"Lamb tongue",100 grams,7.2mcg,(300% DV),Standard Release
113,"rabbit",100 grams,7.2mcg,(298% DV),Standard Release
114,"Beef tripe",100 grams,7.1mcg,(297% DV),Standard Release
116,"Fish, mackerel, jack, canned, drained solids",100 grams,6.9mcg,(289% DV),Standard Release
117,"Emu, outside drum, raw",100 grams,6.9mcg,(288% DV),Standard Release
118,"Emu, oyster, raw",100 grams,6.8mcg,(282% DV),Standard Release
119,Raw Ground (Minced) Emu,100 grams,6.8mcg,(281% DV),Standard Release
121,"Emu, fan fillet, raw",100 grams,6.7mcg,(278% DV),Standard Release
125,"squirrel",100 grams,6.5mcg,(271% DV),Standard Release
126,"Ostrich, inside leg, cooked",100 grams,6.4mcg,(265% DV),Standard Release
127,"Ostrich, oyster, cooked",100 grams,6.3mcg,(263% DV),Standard Release
128,"moose",100 grams,6.3mcg,(263% DV),Standard Release
129,"caribou",100 grams,6.3mcg,(263% DV),Standard Release
130,"deer",100 grams,6.3mcg,(263% DV),Standard Release
132,"Ostrich, outside strip, cooked",100 grams,6.3mcg,(261% DV),Standard Release
133,"Ostrich, tip trimmed, cooked",100 grams,6.3mcg,(260% DV),Standard Release
135,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",100 grams,6.2mcg,(258% DV),Standard Release
136,"Ostrich, top loin, cooked",100 grams,6.2mcg,(257% DV),Standard Release
137,"Emu, flat fillet, raw",100 grams,6.1mcg,(255% DV),Standard Release
138,"Veal tongue",100 grams,6.1mcg,(254% DV),Standard Release
141,"Lamb",100 grams,6mcg,(250% DV),Standard Release
143,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",100 grams,5.9mcg,(245% DV),Standard Release
144,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, raw",100 grams,5.8mcg,(243% DV),Standard Release
145,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",100 grams,5.8mcg,(240% DV),Standard Release
146,Ostrich Ground (Minced) Cooked Pan-Broiled,100 grams,5.7mcg,(239% DV),Standard Release
147,"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",100 grams,5.7mcg,(238% DV),Standard Release
148,"Beef spleen",100 grams,5.7mcg,(237% DV),Standard Release
151,"Thuringer, cervelat, summer sausage, beef, pork",100 grams,5.5mcg,(229% DV),Standard Release
153,"Egg, duck, whole, fresh, raw",100 grams,5.4mcg,(225% DV),Standard Release
154,"Ostrich, inside strip, raw",100 grams,5.4mcg,(225% DV),Standard Release
155,"Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,5.4mcg,(225% DV),Standard Release
