Rank,Food Name,Serving,folate-b9 amount,Percent DV,Source
1,"Duck, domesticated, liver, raw",100 grams,738mcg,(185% DV),Standard Release
2,"Goose, liver, raw",100 grams,738mcg,(185% DV),Standard Release
3,"Turkey, all classes, liver, cooked, simmered",100 grams,691mcg,(173% DV),Standard Release
4,"Turkey, all classes, liver, raw",100 grams,677mcg,(169% DV),Standard Release
5,"Yardlong beans, mature seeds, raw",100 grams,658mcg,(165% DV),Standard Release
6,"Mothbeans, mature seeds, raw",100 grams,649mcg,(162% DV),Standard Release
7,"Cowpeas, catjang, mature seeds, raw",100 grams,639mcg,(160% DV),Standard Release
8,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",100 grams,633mcg,(158% DV),Standard Release
9,"Mung beans, mature seeds, raw",100 grams,625mcg,(156% DV),Standard Release
10,"Beans, adzuki, mature seeds, raw",100 grams,622mcg,(156% DV),Standard Release
11,"Beans, cranberry (roman), mature seeds, raw",100 grams,604mcg,(151% DV),Standard Release
12,"Chicken, liver, all classes, raw",100 grams,588mcg,(147% DV),Standard Release
13,Dried Agar Seaweed,100 grams,580mcg,(145% DV),Standard Release
14,"Chicken, liver, all classes, cooked, simmered",100 grams,578mcg,(145% DV),Standard Release
15,"Chicken, liver, all classes, cooked, pan-fried",100 grams,560mcg,(140% DV),Standard Release
16,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",100 grams,557mcg,(139% DV),Standard Release
17,Beans Pinto Mature Seeds Raw,100 grams,525mcg,(131% DV),Standard Release
18,"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",100 grams,500mcg,(125% DV),Standard Release
19,Beans Great Northern Mature Seeds Raw,100 grams,482mcg,(121% DV),Standard Release
20,"Lentils, raw",100 grams,479mcg,(120% DV),Standard Release
21,"Beans, pink, mature seeds, raw",100 grams,463mcg,(116% DV),Standard Release
22,"Pigeon peas (red gram), mature seeds, raw",100 grams,456mcg,(114% DV),Standard Release
23,"Beans, black, mature seeds, raw",100 grams,444mcg,(111% DV),Standard Release
24,"Beans, black turtle, mature seeds, raw",100 grams,444mcg,(111% DV),Standard Release
25,Chickpea flour (besan),100 grams,437mcg,(109% DV),Standard Release
26,"Broadbeans (fava beans), mature seeds, raw",100 grams,423mcg,(106% DV),Standard Release
27,"Chicken, capons, giblets, cooked, simmered",100 grams,414mcg,(104% DV),Standard Release
28,"Lima beans, thin seeded (baby), mature seeds, raw",100 grams,400mcg,(100% DV),Standard Release
29,"Beans, french, mature seeds, raw",100 grams,399mcg,(100% DV),Standard Release
30,"Lima beans, large, mature seeds, raw",100 grams,395mcg,(99% DV),Standard Release
31,"Chicken, capons, giblets, raw",100 grams,394mcg,(99% DV),Standard Release
32,"Beans, kidney, red, mature seeds, raw",100 grams,394mcg,(99% DV),Standard Release
33,"Beans, kidney, california red, mature seeds, raw",100 grams,394mcg,(99% DV),Standard Release
34,"Beans, kidney, all types, mature seeds, raw",100 grams,394mcg,(99% DV),Standard Release
35,"Beans, kidney, royal red, mature seeds, raw",100 grams,393mcg,(98% DV),Standard Release
36,"Beans, yellow, mature seeds, raw",100 grams,389mcg,(97% DV),Standard Release
37,"Beans, white, mature seeds, raw",100 grams,388mcg,(97% DV),Standard Release
38,"Beans, small white, mature seeds, raw",100 grams,386mcg,(97% DV),Standard Release
39,"Chicken, broilers or fryers, giblets, cooked, fried",100 grams,379mcg,(95% DV),Standard Release
40,"Soybeans, mature seeds, raw",100 grams,375mcg,(94% DV),Standard Release
41,"Peanut butter, smooth, vitamin and mineral fortified",100 grams,373mcg,(93% DV),Standard Release
42,"Chicken, stewing, giblets, cooked, simmered",100 grams,367mcg,(92% DV),Standard Release
43,"Leeks, (bulb and lower-leaf portion), freeze-dried",100 grams,366mcg,(92% DV),Standard Release
44,"Beans, navy, mature seeds, raw",100 grams,364mcg,(91% DV),Standard Release
45,"Lupins, mature seeds, raw",100 grams,355mcg,(89% DV),Standard Release
46,"Chicken, stewing, giblets, raw",100 grams,350mcg,(88% DV),Standard Release
47,"Veal, variety meats and by-products, liver, cooked, pan-fried",100 grams,350mcg,(88% DV),Standard Release
48,"Soy flour, full-fat, raw",100 grams,345mcg,(86% DV),Standard Release
49,"Chicken, broilers or fryers, giblets, raw",100 grams,345mcg,(86% DV),Standard Release
50,"Soy protein concentrate, produced by alcohol extraction",100 grams,340mcg,(85% DV),Standard Release
51,"Soy protein concentrate, produced by acid wash",100 grams,340mcg,(85% DV),Standard Release
52,"Turkey, whole, giblets, raw",100 grams,331mcg,(83% DV),Standard Release
53,"Veal, variety meats and by-products, liver, cooked, braised",100 grams,331mcg,(83% DV),Standard Release
54,"Pate, chicken liver, canned",100 grams,321mcg,(80% DV),Standard Release
55,"Peanut butter, chunky, vitamin and mineral fortified",100 grams,313mcg,(78% DV),Standard Release
56,"Soy flour, defatted",100 grams,305mcg,(76% DV),Standard Release
57,"Edamame, frozen, unprepared",100 grams,303mcg,(76% DV),Standard Release
58,"Turkey, whole, giblets, cooked, simmered",100 grams,303mcg,(76% DV),Standard Release
59,"Chicken, roasting, giblets, cooked, simmered",100 grams,303mcg,(76% DV),Standard Release
60,"Soy meal, defatted, raw",100 grams,303mcg,(76% DV),Standard Release
61,"Radishes, oriental, dried",100 grams,295mcg,(74% DV),Standard Release
62,"Beef, variety meats and by-products, liver, raw",100 grams,290mcg,(73% DV),Standard Release
63,"Soy flour, low-fat",100 grams,289mcg,(72% DV),Standard Release
64,"Beverage, instant breakfast powder, chocolate, not reconstituted",100 grams,285mcg,(71% DV),Standard Release
65,"Wheat germ, crude",100 grams,281mcg,(70% DV),Standard Release
66,"Protein supplement, milk based, Muscle Milk Light, powder",100 grams,280mcg,(70% DV),Standard Release
67,"Macaroni, vegetable, enriched, dry",100 grams,278mcg,(70% DV),Standard Release
68,"Spaghetti, protein-fortified, dry, enriched (n x 6.25)",100 grams,278mcg,(70% DV),Standard Release
69,"Chicken, roasting, giblets, raw",100 grams,276mcg,(69% DV),Standard Release
70,"Rice, white, long-grain, precooked or instant, enriched, dry",100 grams,275mcg,(69% DV),Standard Release
71,"Spices, thyme, dried",100 grams,274mcg,(69% DV),Standard Release
72,"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",100 grams,264mcg,(66% DV),Standard Release
73,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",100 grams,264mcg,(66% DV),Standard Release
74,"Rice, white, long-grain, parboiled, enriched, dry",100 grams,257mcg,(64% DV),Standard Release
75,"Chicken, broilers or fryers, giblets, cooked, simmered",100 grams,257mcg,(64% DV),Standard Release
