Rank,Food Name,Serving,folate-b9-v2 amount,Percent DV,Source
1,"Yardlong beans, mature seeds, raw",100 grams,658mcg,(165% DV),Standard Release
2,"Mothbeans, mature seeds, raw",100 grams,649mcg,(162% DV),Standard Release
3,"Cowpeas, catjang, mature seeds, raw",100 grams,639mcg,(160% DV),Standard Release
4,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",100 grams,633mcg,(158% DV),Standard Release
5,"Mung beans, mature seeds, raw",100 grams,625mcg,(156% DV),Standard Release
6,"Beans, adzuki, mature seeds, raw",100 grams,622mcg,(156% DV),Standard Release
7,"Beans, cranberry (roman), mature seeds, raw",100 grams,604mcg,(151% DV),Standard Release
8,Dried Agar Seaweed,100 grams,580mcg,(145% DV),Standard Release
9,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",100 grams,557mcg,(139% DV),Standard Release
10,Beans Pinto Mature Seeds Raw,100 grams,525mcg,(131% DV),Standard Release
11,"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",100 grams,500mcg,(125% DV),Standard Release
12,Beans Great Northern Mature Seeds Raw,100 grams,482mcg,(121% DV),Standard Release
13,"Lentils, raw",100 grams,479mcg,(120% DV),Standard Release
14,"Beans, pink, mature seeds, raw",100 grams,463mcg,(116% DV),Standard Release
15,"Pigeon peas (red gram), mature seeds, raw",100 grams,456mcg,(114% DV),Standard Release
16,"Beans, black turtle, mature seeds, raw",100 grams,444mcg,(111% DV),Standard Release
17,"Beans, black, mature seeds, raw",100 grams,444mcg,(111% DV),Standard Release
18,Chickpea flour (besan),100 grams,437mcg,(109% DV),Standard Release
19,"Broadbeans (fava beans), mature seeds, raw",100 grams,423mcg,(106% DV),Standard Release
20,"Lima beans, thin seeded (baby), mature seeds, raw",100 grams,400mcg,(100% DV),Standard Release
21,"Beans, french, mature seeds, raw",100 grams,399mcg,(100% DV),Standard Release
22,"Lima beans, large, mature seeds, raw",100 grams,395mcg,(99% DV),Standard Release
23,"Beans, kidney, all types, mature seeds, raw",100 grams,394mcg,(99% DV),Standard Release
24,"Beans, kidney, california red, mature seeds, raw",100 grams,394mcg,(99% DV),Standard Release
25,"Beans, kidney, red, mature seeds, raw",100 grams,394mcg,(99% DV),Standard Release
26,"Beans, kidney, royal red, mature seeds, raw",100 grams,393mcg,(98% DV),Standard Release
27,"Beans, yellow, mature seeds, raw",100 grams,389mcg,(97% DV),Standard Release
28,"Beans, white, mature seeds, raw",100 grams,388mcg,(97% DV),Standard Release
29,"Beans, small white, mature seeds, raw",100 grams,386mcg,(97% DV),Standard Release
30,"Soybeans, mature seeds, raw",100 grams,375mcg,(94% DV),Standard Release
31,"Peanut butter, smooth, vitamin and mineral fortified",100 grams,373mcg,(93% DV),Standard Release
32,"Leeks, (bulb and lower-leaf portion), freeze-dried",100 grams,366mcg,(92% DV),Standard Release
33,"Beans, navy, mature seeds, raw",100 grams,364mcg,(91% DV),Standard Release
34,"Lupins, mature seeds, raw",100 grams,355mcg,(89% DV),Standard Release
35,"Soy flour, full-fat, raw",100 grams,345mcg,(86% DV),Standard Release
36,"Soy protein concentrate, produced by alcohol extraction",100 grams,340mcg,(85% DV),Standard Release
37,"Soy protein concentrate, produced by acid wash",100 grams,340mcg,(85% DV),Standard Release
38,"Peanut butter, chunky, vitamin and mineral fortified",100 grams,313mcg,(78% DV),Standard Release
39,"Soy flour, defatted",100 grams,305mcg,(76% DV),Standard Release
40,"Soy meal, defatted, raw",100 grams,303mcg,(76% DV),Standard Release
41,"Edamame, frozen, unprepared",100 grams,303mcg,(76% DV),Standard Release
42,"Radishes, oriental, dried",100 grams,295mcg,(74% DV),Standard Release
43,"Soy flour, low-fat",100 grams,289mcg,(72% DV),Standard Release
44,"Beverage, instant breakfast powder, chocolate, not reconstituted",100 grams,285mcg,(71% DV),Standard Release
45,"Wheat germ, crude",100 grams,281mcg,(70% DV),Standard Release
46,"Protein supplement, milk based, Muscle Milk Light, powder",100 grams,280mcg,(70% DV),Standard Release
47,"Macaroni, vegetable, enriched, dry",100 grams,278mcg,(70% DV),Standard Release
48,"Spaghetti, protein-fortified, dry, enriched (n x 6.25)",100 grams,278mcg,(70% DV),Standard Release
49,"Rice, white, long-grain, precooked or instant, enriched, dry",100 grams,275mcg,(69% DV),Standard Release
50,"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",100 grams,264mcg,(66% DV),Standard Release
51,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",100 grams,264mcg,(66% DV),Standard Release
52,"Rice, white, long-grain, parboiled, enriched, dry",100 grams,257mcg,(64% DV),Standard Release
53,"Peanut flour, defatted",100 grams,248mcg,(62% DV),Standard Release
54,"Peanuts, valencia, raw",100 grams,246mcg,(62% DV),Standard Release
55,"Noodles, egg, spinach, enriched, dry",100 grams,245mcg,(61% DV),Standard Release
56,"Seeds, cottonseed meal, partially defatted (glandless)",100 grams,242mcg,(61% DV),Standard Release
57,"Peanuts, spanish, raw",100 grams,240mcg,(60% DV),Standard Release
58,"Peanuts, virginia, raw",100 grams,239mcg,(60% DV),Standard Release
59,"Seeds, sunflower seed kernels, toasted, with salt added",100 grams,238mcg,(60% DV),Standard Release
60,"Seeds, sunflower seed kernels, toasted, without salt",100 grams,238mcg,(60% DV),Standard Release
61,"Seeds, sunflower seed kernels, dry roasted, with salt added",100 grams,237mcg,(59% DV),Standard Release
62,Seeds Sunflower Seed Butter With Salt Added,100 grams,237mcg,(59% DV),Standard Release
63,"Pasta, dry, enriched",100 grams,237mcg,(59% DV),Standard Release
64,"Seeds, sunflower seed butter, without salt",100 grams,237mcg,(59% DV),Standard Release
65,"Seeds, sunflower seed kernels, oil roasted, with salt added",100 grams,234mcg,(59% DV),Standard Release
66,"Seeds, sunflower seed kernels, oil roasted, without salt",100 grams,234mcg,(59% DV),Standard Release
67,"Cornmeal, yellow, self-rising, degermed, enriched",100 grams,233mcg,(58% DV),Standard Release
68,"Cornmeal, yellow, self-rising, bolted, plain, enriched",100 grams,233mcg,(58% DV),Standard Release
69,"Cornmeal, white, self-rising, bolted, plain, enriched",100 grams,233mcg,(58% DV),Standard Release
70,"Seeds, cottonseed kernels, roasted (glandless)",100 grams,233mcg,(58% DV),Standard Release
71,"Cornmeal, white, self-rising, degermed, enriched",100 grams,233mcg,(58% DV),Standard Release
72,"Rice, white, short-grain, enriched, uncooked",100 grams,231mcg,(58% DV),Standard Release
73,"Rice, white, medium-grain, raw, enriched",100 grams,231mcg,(58% DV),Standard Release
74,"Rice, white, long-grain, regular, raw, enriched",100 grams,231mcg,(58% DV),Standard Release
75,"Noodles, egg, dry, enriched",100 grams,230mcg,(58% DV),Standard Release
76,"Peppers, sweet, red, freeze-dried",100 grams,229mcg,(57% DV),Standard Release
77,"Seeds, cottonseed flour, partially defatted (glandless)",100 grams,229mcg,(57% DV),Standard Release
78,"Seeds, cottonseed flour, low fat (glandless)",100 grams,228mcg,(57% DV),Standard Release
79,"Soy flour, full-fat, roasted",100 grams,227mcg,(57% DV),Standard Release
80,"Seeds, sunflower seed flour, partially defatted",100 grams,222mcg,(56% DV),Standard Release
81,Papad,100 grams,219mcg,(55% DV),Standard Release
82,"Mungo beans, mature seeds, raw",100 grams,216mcg,(54% DV),Standard Release
83,"Epazote, raw",100 grams,215mcg,(54% DV),Standard Release
84,"Soybeans, mature seeds, roasted, no salt added",100 grams,211mcg,(53% DV),Standard Release
85,"Soybeans, mature seeds, roasted, salted",100 grams,211mcg,(53% DV),Standard Release
86,"Cornmeal, degermed, enriched, yellow",100 grams,209mcg,(52% DV),Standard Release
87,"Cornmeal, degermed, enriched, white",100 grams,209mcg,(52% DV),Standard Release
88,"Egg, yolk, dried",100 grams,209mcg,(52% DV),Standard Release
89,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",100 grams,208mcg,(52% DV),Standard Release
90,"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",100 grams,207mcg,(52% DV),Standard Release
91,"Lentils, pink or red, raw",100 grams,204mcg,(51% DV),Standard Release
92,"Protein supplement, milk based, Muscle Milk, powder",100 grams,200mcg,(50% DV),Standard Release
93,Meat extender,100 grams,198mcg,(50% DV),Standard Release
94,"Wheat flour, white, all-purpose, self-rising, enriched",100 grams,196mcg,(49% DV),Standard Release
95,"Egg, whole, dried, stabilized, glucose reduced",100 grams,193mcg,(48% DV),Standard Release
96,"Asparagus, frozen, unprepared",100 grams,191mcg,(48% DV),Standard Release
97,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",100 grams,188mcg,(47% DV),Standard Release
98,"Cowpeas (blackeyes), immature seeds, frozen, unprepared",100 grams,187mcg,(47% DV),Standard Release
99,"Wheat flour, white, cake, enriched",100 grams,186mcg,(47% DV),Standard Release
100,"Quinoa, uncooked",100 grams,184mcg,(46% DV),Standard Release
101,"Wheat flour, white, bread, enriched",100 grams,183mcg,(46% DV),Standard Release
102,"Wheat flour, white, all-purpose, enriched, bleached",100 grams,183mcg,(46% DV),Standard Release
103,All Purpose Flour (Enrinched and Unbleached),100 grams,183mcg,(46% DV),Standard Release
104,"Semolina, enriched",100 grams,183mcg,(46% DV),Standard Release
105,"Wheat flour, white, all-purpose, enriched, calcium-fortified",100 grams,183mcg,(46% DV),Standard Release
106,"Lentils, mature seeds, cooked, boiled, with salt",100 grams,181mcg,(45% DV),Standard Release
107,"Pasta, fresh-refrigerated, spinach, as purchased",100 grams,177mcg,(44% DV),Standard Release
108,"Soy protein isolate, potassium type",100 grams,176mcg,(44% DV),Standard Release
109,"Pasta, fresh-refrigerated, plain, as purchased",100 grams,176mcg,(44% DV),Standard Release
110,"Egg, yolk, raw, frozen, sugared, pasteurized",100 grams,174mcg,(44% DV),Standard Release
111,"Pigeonpeas, immature seeds, raw",100 grams,173mcg,(43% DV),Standard Release
112,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt",100 grams,172mcg,(43% DV),Standard Release
113,"Beans, pinto, mature seeds, cooked, boiled, with salt",100 grams,172mcg,(43% DV),Standard Release
114,"Wheat flour, white (industrial), 15% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
115,"Wheat flour, white (industrial), 9% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
116,"Wheat flour, white (industrial), 10% protein, unbleached, enriched",100 grams,170mcg,(43% DV),Standard Release
117,"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
118,"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",100 grams,170mcg,(43% DV),Standard Release
119,"Wheat flour, white (industrial), 13% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
120,"Wheat flour, white (industrial), 10% protein, bleached, enriched",100 grams,170mcg,(43% DV),Standard Release
121,"Beans, pink, mature seeds, cooked, boiled, with salt",100 grams,168mcg,(42% DV),Standard Release
122,"Beans, pink, mature seeds, cooked, boiled, without salt",100 grams,168mcg,(42% DV),Standard Release
