Rank,Food Name,Serving,iron amount,Percent DV,Source
1,"Spices, thyme, dried",100 grams,123.6mg,(687% DV),Standard Release
2,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",100 grams,66.4mg,(369% DV),Standard Release
3,"Beef, variety meats and by-products, spleen, raw",100 grams,44.6mg,(248% DV),Standard Release
4,"Lamb, variety meats and by-products, spleen, raw",100 grams,41.9mg,(233% DV),Standard Release
5,"Beef, variety meats and by-products, spleen, cooked, braised",100 grams,39.4mg,(219% DV),Standard Release
6,"Lamb, variety meats and by-products, spleen, cooked, braised",100 grams,38.7mg,(215% DV),Standard Release
7,"Duck, domesticated, liver, raw",100 grams,30.5mg,(170% DV),Standard Release
8,"Goose, liver, raw",100 grams,30.5mg,(170% DV),Standard Release
9,"Pork, fresh, variety meats and by-products, liver, raw",100 grams,23.3mg,(129% DV),Standard Release
10,"Pork, fresh, variety meats and by-products, spleen, raw",100 grams,22.3mg,(124% DV),Standard Release
11,"Pork, fresh, variety meats and by-products, spleen, cooked, braised",100 grams,22.2mg,(124% DV),Standard Release
12,Dried Agar Seaweed,100 grams,21.4mg,(119% DV),Standard Release
13,"Seeds, sesame butter, paste",100 grams,19.2mg,(107% DV),Standard Release
14,"Pork, fresh, variety meats and by-products, lungs, raw",100 grams,18.9mg,(105% DV),Standard Release
15,"Pork, fresh, variety meats and by-products, liver, cooked, braised",100 grams,17.9mg,(100% DV),Standard Release
16,"Peanut butter, chunky, vitamin and mineral fortified",100 grams,17.5mg,(97% DV),Standard Release
17,"Peanut butter, smooth, vitamin and mineral fortified",100 grams,16.6mg,(92% DV),Standard Release
18,"Pork, fresh, variety meats and by-products, lungs, cooked, braised",100 grams,16.4mg,(91% DV),Standard Release
19,"Soybeans, mature seeds, raw",100 grams,15.7mg,(87% DV),Standard Release
20,"Seeds, sesame flour, high-fat",100 grams,15.2mg,(84% DV),Standard Release
21,"Lamb, New Zealand, imported, kidney, cooked, soaked and fried",100 grams,14.7mg,(82% DV),Standard Release
22,"Seeds, sesame meal, partially defatted",100 grams,14.6mg,(81% DV),Standard Release
