Rank,Food Name,Serving,iron-v2 amount,Percent DV,Source
1,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",100 grams,66.4mg,(369% DV),Standard Release
2,Dried Agar Seaweed,100 grams,21.4mg,(119% DV),Standard Release
3,"Seeds, sesame butter, paste",100 grams,19.2mg,(107% DV),Standard Release
4,"Peanut butter, chunky, vitamin and mineral fortified",100 grams,17.5mg,(97% DV),Standard Release
5,"Peanut butter, smooth, vitamin and mineral fortified",100 grams,16.6mg,(92% DV),Standard Release
6,"Soybeans, mature seeds, raw",100 grams,15.7mg,(87% DV),Standard Release
7,"Seeds, sesame flour, high-fat",100 grams,15.2mg,(84% DV),Standard Release
8,"Seeds, sesame seeds, whole, dried",100 grams,14.6mg,(81% DV),Standard Release
9,"Seeds, sesame meal, partially defatted",100 grams,14.6mg,(81% DV),Standard Release
10,"Soy protein isolate, potassium type",100 grams,14.5mg,(81% DV),Standard Release
11,"Seeds, sesame flour, partially defatted",100 grams,14.3mg,(79% DV),Standard Release
12,"Seeds, sesame flour, low-fat",100 grams,14.2mg,(79% DV),Standard Release
13,"Soy meal, defatted, raw",100 grams,13.7mg,(76% DV),Standard Release
14,"Winged beans, mature seeds, raw",100 grams,13.4mg,(75% DV),Standard Release
15,"Seeds, cottonseed meal, partially defatted (glandless)",100 grams,13.4mg,(74% DV),Standard Release
16,"Beverage, instant breakfast powder, chocolate, not reconstituted",100 grams,12.8mg,(71% DV),Standard Release
17,"Seeds, cottonseed flour, partially defatted (glandless)",100 grams,12.7mg,(70% DV),Standard Release
18,"Seeds, cottonseed flour, low fat (glandless)",100 grams,12.6mg,(70% DV),Standard Release
19,"Protein supplement, milk based, Muscle Milk Light, powder",100 grams,12mg,(67% DV),Standard Release
20,Meat extender,100 grams,12mg,(67% DV),Standard Release
21,"Mothbeans, mature seeds, raw",100 grams,10.9mg,(60% DV),Standard Release
22,"Soy protein concentrate, produced by acid wash",100 grams,10.8mg,(60% DV),Standard Release
23,"Soy protein concentrate, produced by alcohol extraction",100 grams,10.8mg,(60% DV),Standard Release
24,"Wheat bran, crude",100 grams,10.6mg,(59% DV),Standard Release
25,"Beans, white, mature seeds, raw",100 grams,10.4mg,(58% DV),Standard Release
26,"Peppers, sweet, red, freeze-dried",100 grams,10.4mg,(58% DV),Standard Release
27,"Cowpeas, catjang, mature seeds, raw",100 grams,10mg,(55% DV),Standard Release
28,"Tofu, dried-frozen (koyadofu), prepared with calcium sulfate",100 grams,9.7mg,(54% DV),Standard Release
29,"Tofu, dried-frozen (koyadofu)",100 grams,9.7mg,(54% DV),Standard Release
30,"Egg, yolk, dried",100 grams,9.6mg,(53% DV),Standard Release
31,"Beans, kidney, california red, mature seeds, raw",100 grams,9.4mg,(52% DV),Standard Release
32,"Soy flour, defatted",100 grams,9.2mg,(51% DV),Standard Release
33,"Beans, kidney, royal red, mature seeds, raw",100 grams,8.7mg,(48% DV),Standard Release
34,"Beans, black turtle, mature seeds, raw",100 grams,8.7mg,(48% DV),Standard Release
35,"Yardlong beans, mature seeds, raw",100 grams,8.6mg,(48% DV),Standard Release
36,Natto,100 grams,8.6mg,(48% DV),Standard Release
37,"Protein supplement, milk based, Muscle Milk, powder",100 grams,8.6mg,(48% DV),Standard Release
38,"Corn flour, masa, enriched, white",100 grams,8.5mg,(47% DV),Standard Release
39,"Corn flour, yellow, masa, enriched",100 grams,8.5mg,(47% DV),Standard Release
40,"Egg, whole, dried, stabilized, glucose reduced",100 grams,8.3mg,(46% DV),Standard Release
41,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",100 grams,8.3mg,(46% DV),Standard Release
42,"Beans, kidney, all types, mature seeds, raw",100 grams,8.2mg,(46% DV),Standard Release
43,"Soy flour, low-fat",100 grams,8.2mg,(46% DV),Standard Release
44,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",100 grams,8.1mg,(45% DV),Standard Release
45,Papad,100 grams,7.8mg,(43% DV),Standard Release
46,"Seeds, sesame seed kernels, toasted, with salt added (decorticated)",100 grams,7.8mg,(43% DV),Standard Release
47,"Seeds, sesame seed kernels, toasted, without salt added (decorticated)",100 grams,7.8mg,(43% DV),Standard Release
48,"Beans, small white, mature seeds, raw",100 grams,7.7mg,(43% DV),Standard Release
49,"Teff, uncooked",100 grams,7.6mg,(42% DV),Standard Release
50,"Amaranth grain, uncooked",100 grams,7.6mg,(42% DV),Standard Release
51,"Leeks, (bulb and lower-leaf portion), freeze-dried",100 grams,7.6mg,(42% DV),Standard Release
52,"Mungo beans, mature seeds, raw",100 grams,7.6mg,(42% DV),Standard Release
53,"Lima beans, large, mature seeds, raw",100 grams,7.5mg,(42% DV),Standard Release
54,"Lentils, pink or red, raw",100 grams,7.4mg,(41% DV),Standard Release
55,"Wheat flour, white, cake, enriched",100 grams,7.3mg,(41% DV),Standard Release
56,"Seeds, watermelon seed kernels, dried",100 grams,7.3mg,(40% DV),Standard Release
57,"Wheat flour, white, tortilla mix, enriched",100 grams,7.1mg,(39% DV),Standard Release
58,"Potatoes, baked, skin, without salt",100 grams,7mg,(39% DV),Standard Release
59,"Potatoes, baked, skin only, with salt",100 grams,7mg,(39% DV),Standard Release
60,"Beans, yellow, mature seeds, raw",100 grams,7mg,(39% DV),Standard Release
61,"Seeds, sunflower seed kernels, toasted, without salt",100 grams,6.8mg,(38% DV),Standard Release
62,"Seeds, sunflower seed kernels, toasted, with salt added",100 grams,6.8mg,(38% DV),Standard Release
