Rank,Food Name,Serving,vitamin-b12 amount,Percent DV,Source
1,"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled",100 grams,96mcg,(4000% DV),Standard Release
2,"Lamb, variety meats and by-products, liver, raw",100 grams,90.1mcg,(3752% DV),Standard Release
3,"Veal, variety meats and by-products, liver, cooked, braised",100 grams,84.6mcg,(3525% DV),Standard Release
4,"Beef, New Zealand, imported, variety meats and by-products, liver, raw",100 grams,84.5mcg,(3521% DV),Standard Release
5,"Lamb, variety meats and by-products, kidneys, cooked, braised",100 grams,78.9mcg,(3288% DV),Standard Release
6,"Lamb, variety meats and by-products, liver, cooked, braised",100 grams,76.5mcg,(3188% DV),Standard Release
7,"Veal, variety meats and by-products, liver, cooked, pan-fried",100 grams,72.5mcg,(3021% DV),Standard Release
8,"Beef, variety meats and by-products, liver, cooked, braised",100 grams,70.6mcg,(2941% DV),Standard Release
9,"Veal, variety meats and by-products, liver, raw",100 grams,59.9mcg,(2494% DV),Standard Release
10,"Beef, variety meats and by-products, liver, raw",100 grams,59.3mcg,(2471% DV),Standard Release
11,"Lamb, New Zealand, imported, liver, raw",100 grams,59mcg,(2458% DV),Standard Release
12,"Lamb, New Zealand, imported, liver, cooked, soaked and fried",100 grams,57.5mcg,(2396% DV),Standard Release
13,"Lamb, New Zealand, imported, kidney, cooked, soaked and fried",100 grams,55.6mcg,(2315% DV),Standard Release
14,"Duck, domesticated, liver, raw",100 grams,54mcg,(2250% DV),Standard Release
15,"Goose, liver, raw",100 grams,54mcg,(2250% DV),Standard Release
16,"Lamb, variety meats and by-products, kidneys, raw",100 grams,52.4mcg,(2184% DV),Standard Release
17,"Lamb, New Zealand, imported, kidney, raw",100 grams,50.4mcg,(2099% DV),Standard Release
18,"Mollusks, clam, mixed species, cooked, breaded and fried",100 grams,40.3mcg,(1678% DV),Standard Release
19,"Veal, variety meats and by-products, kidneys, cooked, braised",100 grams,36.9mcg,(1538% DV),Standard Release
20,"Veal, variety meats and by-products, kidneys, raw",100 grams,28.2mcg,(1175% DV),Standard Release
21,"Turkey, all classes, liver, cooked, simmered",100 grams,28.2mcg,(1174% DV),Standard Release
22,"Beef, New Zealand, imported, variety meats and by-products, kidney, raw",100 grams,27.7mcg,(1153% DV),Standard Release
23,"Beef, variety meats and by-products, kidneys, raw",100 grams,27.5mcg,(1146% DV),Standard Release
24,"Pork, fresh, variety meats and by-products, liver, raw",100 grams,26mcg,(1083% DV),Standard Release
25,"Beef, variety meats and by-products, kidneys, cooked, simmered",100 grams,24.9mcg,(1038% DV),Standard Release
26,"Liver cheese, pork",100 grams,24.6mcg,(1023% DV),Standard Release
27,"Lamb, variety meats and by-products, brain, cooked, pan-fried",100 grams,24.1mcg,(1004% DV),Standard Release
28,"Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled",100 grams,21.4mcg,(890% DV),Standard Release
29,"Veal, variety meats and by-products, brain, cooked, pan-fried",100 grams,21.3mcg,(888% DV),Standard Release
30,"Chicken, liver, all classes, cooked, pan-fried",100 grams,21.1mcg,(880% DV),Standard Release
31,"Mollusks, octopus, common, raw",100 grams,20mcg,(833% DV),Standard Release
32,"Fish, caviar, black and red, granular",100 grams,20mcg,(833% DV),Standard Release
33,"Turkey, all classes, liver, raw",100 grams,19.7mcg,(822% DV),Standard Release
34,"Oscar Mayer, Braunschweiger Liver Sausage (sliced)",100 grams,18.8mcg,(783% DV),Standard Release
35,"Pork, fresh, variety meats and by-products, liver, cooked, braised",100 grams,18.7mcg,(778% DV),Standard Release
36,"Veal, variety meats and by-products, pancreas, cooked, braised",100 grams,17.3mcg,(722% DV),Standard Release
