Rank,Food Name,Serving,vitamin-b12-v2 amount,Percent DV,Source
1,"Egg, whole, dried, stabilized, glucose reduced",100 grams,10.5mcg,(438% DV),Standard Release
2,Meat extender,100 grams,6mcg,(250% DV),Standard Release
3,"Egg, duck, whole, fresh, raw",100 grams,5.4mcg,(225% DV),Standard Release
4,"Chicken, meatless, breaded, fried",100 grams,5.1mcg,(213% DV),Standard Release
5,"Egg, yolk, dried",100 grams,5.1mcg,(213% DV),Standard Release
6,"Egg, goose, whole, fresh, raw",100 grams,5.1mcg,(213% DV),Standard Release
7,Vegetarian fillets,100 grams,4.2mcg,(175% DV),Standard Release
8,"Protein supplement, milk based, Muscle Milk Light, powder",100 grams,4.2mcg,(175% DV),Standard Release
9,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",100 grams,4mcg,(168% DV),Standard Release
10,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",100 grams,4mcg,(168% DV),Standard Release
11,"Luncheon slices, meatless",100 grams,4mcg,(167% DV),Standard Release
12,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",100 grams,4mcg,(166% DV),Standard Release
13,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",100 grams,4mcg,(166% DV),Standard Release
14,"Milk, dry, nonfat, calcium reduced",100 grams,4mcg,(166% DV),Standard Release
15,"Milk, buttermilk, dried",100 grams,3.8mcg,(159% DV),Standard Release
16,"Egg substitute, powder",100 grams,3.5mcg,(147% DV),Standard Release
17,"Milk, dry, whole, without added vitamin D",100 grams,3.3mcg,(135% DV),Standard Release
18,"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",100 grams,3.1mcg,(129% DV),Standard Release
19,"Sandwich spread, meatless",100 grams,3.1mcg,(129% DV),Standard Release
20,"Protein supplement, milk based, Muscle Milk, powder",100 grams,3mcg,(125% DV),Standard Release
21,"Fruit juice smoothie, NAKED JUICE, BLUE MACHINE",100 grams,2.5mcg,(104% DV),Standard Release
22,Vegetarian meatloaf or patties,100 grams,2.4mcg,(100% DV),Standard Release
23,"Vitasoy USA, Nasoya Lite Firm Tofu",100 grams,2.4mcg,(98% DV),Standard Release
24,"Frankfurter, meatless",100 grams,2.4mcg,(98% DV),Standard Release
25,"Cheese food, pasteurized process, swiss",100 grams,2.3mcg,(96% DV),Standard Release
26,"Cheese, parmesan, dry grated, reduced fat",100 grams,2.3mcg,(94% DV),Standard Release
27,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",100 grams,2.3mcg,(94% DV),Standard Release
28,"Chicken, meatless",100 grams,2.2mcg,(91% DV),Standard Release
