Rank,Food Name,Serving,iron amount,Percent DV,Source
1,"thyme",100 grams,123.6mg,(687% DV),Standard Release
2,"Seaweed",100 grams,66.4mg,(369% DV),Standard Release
3,"Beef spleen",100 grams,44.6mg,(248% DV),Standard Release
4,"Lamb spleen",100 grams,41.9mg,(233% DV),Standard Release
7,"Duck liver",100 grams,30.5mg,(170% DV),Standard Release
8,"Goose liver",100 grams,30.5mg,(170% DV),Standard Release
9,"Pork liver",100 grams,23.3mg,(129% DV),Standard Release
10,"Pork, spleen",100 grams,22.3mg,(124% DV),Standard Release
12,Dried Agar Seaweed,100 grams,21.4mg,(119% DV),Standard Release
13,"sesame butter",100 grams,19.2mg,(107% DV),Standard Release
14,"Pork lungs",100 grams,18.9mg,(105% DV),Standard Release
16,"Peanut butter",100 grams,17.5mg,(97% DV),Standard Release
19,"Soybeans",100 grams,15.7mg,(87% DV),Standard Release
20,"sesame flour",100 grams,15.2mg,(84% DV),Standard Release
21,"Lamb kidney",100 grams,14.7mg,(82% DV),Standard Release
22,"sesame meal",100 grams,14.6mg,(81% DV),Standard Release
23,"sesame seeds",100 grams,14.6mg,(81% DV),Standard Release
24,"Soy protein isolate",100 grams,14.5mg,(81% DV),Standard Release
25,"sesame flour",100 grams,14.3mg,(79% DV),Standard Release
27,"clam",100 grams,13.9mg,(77% DV),Standard Release
28,"Soy meal",100 grams,13.7mg,(76% DV),Standard Release
29,"Winged beans",100 grams,13.4mg,(75% DV),Standard Release
30,"cottonseed meal",100 grams,13.4mg,(74% DV),Standard Release
31,"Chicken liver",100 grams,12.9mg,(72% DV),Standard Release
33,"cottonseed flour",100 grams,12.7mg,(70% DV),Standard Release
36,"Protein powder",100 grams,12mg,(67% DV),Standard Release
37,Meat extender,100 grams,12mg,(67% DV),Standard Release
38,"caviar",100 grams,11.9mg,(66% DV),Standard Release
40,"Mothbeans",100 grams,10.9mg,(60% DV),Standard Release
41,"Liver cheese, pork",100 grams,10.8mg,(60% DV),Standard Release
44,"bear",100 grams,10.7mg,(60% DV),Standard Release
45,"Wheat bran, crude",100 grams,10.6mg,(59% DV),Standard Release
46,"Braunschweiger Liver Sausage",100 grams,10.5mg,(58% DV),Standard Release
47,"white beans",100 grams,10.4mg,(58% DV),Standard Release
48,"red peppers",100 grams,10.4mg,(58% DV),Standard Release
49,"Chicken broilers",100 grams,10.3mg,(57% DV),Standard Release
