Rank,Food Name,Serving,vitamin-b12-v2 amount,Percent DV,Source
2,Meat extender,100 grams,6mcg,(250% DV),Standard Release
3,"Egg, duck",100 grams,5.4mcg,(225% DV),Standard Release
4,"vegan Chicken",100 grams,5.1mcg,(213% DV),Standard Release
6,"Egg, goose, whole, fresh, raw",100 grams,5.1mcg,(213% DV),Standard Release
7,Vegetarian fillets,100 grams,4.2mcg,(175% DV),Standard Release
8,"Protein powder",100 grams,4.2mcg,(175% DV),Standard Release
9,"Milk",100 grams,4mcg,(168% DV),Standard Release
15,"buttermilk",100 grams,3.8mcg,(159% DV),Standard Release
22,Vegetarian meatloaf or patties,100 grams,2.4mcg,(100% DV),Standard Release
23,"Tofu",100 grams,2.4mcg,(98% DV),Standard Release
24,"Frankfurter, vegan",100 grams,2.4mcg,(98% DV),Standard Release
25,"swiss Cheese",100 grams,2.3mcg,(96% DV),Standard Release
26,"parmesan",100 grams,2.3mcg,(94% DV),Standard Release
27,"Seaweed",100 grams,2.3mcg,(94% DV),Standard Release
31,"queso seco cheese",100 grams,1.7mcg,(71% DV),Standard Release
32,"Egg, turkey, whole, fresh, raw",100 grams,1.7mcg,(70% DV),Standard Release
35,"cheddar cheese",100 grams,1.7mcg,(69% DV),Standard Release
41,"vegan Meatballs",100 grams,1.5mcg,(63% DV),Standard Release
42,Reddi Wip Fat Free Whipped Topping,100 grams,1.5mcg,(62% DV),Standard Release
47,"mozzarella",100 grams,1.3mcg,(55% DV),Standard Release
49,"whole Egg",100 grams,1.2mcg,(50% DV),Standard Release
50,"vegan Bacon",100 grams,1.2mcg,(50% DV),Standard Release
54,"Soymilk",100 grams,1.1mcg,(45% DV),Standard Release
61,"cream Cheese",100 grams,0.9mcg,(38% DV),Standard Release
64,"vegan cheese",100 grams,0.8mcg,(35% DV),Standard Release
65,"Cheese, monterey, low fat",100 grams,0.8mcg,(35% DV),Standard Release
68,"sheep milk",100 grams,0.7mcg,(30% DV),Standard Release
70,"greek yogurt",100 grams,0.7mcg,(29% DV),Standard Release
75,"cottage cheese",100 grams,0.6mcg,(26% DV),Standard Release
78,Strawberry Yogurt,100 grams,0.6mcg,(25% DV),Standard Release
81,Vanilla yoghurt,100 grams,0.5mcg,(22% DV),Standard Release
84,"Egg white",100 grams,0.5mcg,(22% DV),Standard Release
86,"Milk shake vanilla",100 grams,0.5mcg,(22% DV),Standard Release
88,"Cream, half and half, fat free",100 grams,0.5mcg,(22% DV),Standard Release
100,"Ice cream, bar or stick, chocolate covered",100 grams,0.5mcg,(20% DV),Standard Release
105,Eggnog,100 grams,0.5mcg,(19% DV),Standard Release
114,"Sour cream, light",100 grams,0.4mcg,(18% DV),Standard Release
116,Spinach souffle,100 grams,0.4mcg,(17% DV),Standard Release
135,"baked Beans",100 grams,0.3mcg,(14% DV),Standard Release
141,"Corn pudding",100 grams,0.3mcg,(13% DV),Standard Release
143,"Pasta",100 grams,0.3mcg,(13% DV),Standard Release
145,Dulce de Leche,100 grams,0.3mcg,(13% DV),Standard Release
146,Potato pancakes,100 grams,0.3mcg,(12% DV),Standard Release
148,"Noodles, egg, dry",100 grams,0.3mcg,(12% DV),Standard Release
149,"Kefir, lowfat",100 grams,0.3mcg,(12% DV),Standard Release
157,Mashed Potatoes,100 grams,0.2mcg,(9% DV),Standard Release
158,"goat cheese",100 grams,0.2mcg,(9% DV),Standard Release
159,"Whipped topping",100 grams,0.2mcg,(8% DV),Standard Release
168,"Tempeh",100 grams,0.1mcg,(6% DV),Standard Release
180,Miso,100 grams,0.1mcg,(3% DV),Standard Release
181,"Kiwi,100 grams,0.1mcg,(3% DV),Standard Release
193,"Sweet potato",100 grams,0mcg,(0% DV),Standard Release
194,"kidney beans",100 grams,0mcg,(0% DV),Standard Release
195,"Chickpeas",100 grams,0mcg,(0% DV),Standard Release
196,"mixed Vegetables",100 grams,0mcg,(0% DV),Standard Release
197,"Turnip",100 grams,0mcg,(0% DV),Standard Release
198,"Mustard spinach",100 grams,0mcg,(0% DV),Standard Release
200,"Cowpeas",100 grams,0mcg,(0% DV),Standard Release
